Name,Code,Cat Code,Parent Manufacturer
Bk-Resources,BKRC,PT_CAT374364,
Blodgett,BL,PT_CAT1025,Middleby
Blakeslee,BLA,PT_CAT1026,Legacy
B Laster Chemicals,BLC,PT_CATBLASTERCHEMICALS,
Bilco,BLCO,PT_CAT375654,
Blendtec,BLD,PT_CAT1027,
Belden,BLDN,PT_CAT375402,
Bloemhof,BLF,PT_CAT224134,
Bluff Manufacturing,BLFM,PT_CAT375588,
Billy Goat,BLGT,PT_CAT374839,
Blickman,BLI,PT_CAT1028,
Broil King,BLKG,PT_CAT376009,
Bloomfield,BLM,PT_CAT1029,Middleby
Blue Magic Inc,BLMG,PT_CAT375814,
Belimo,BLMO,PT_CAT374831,
Ballymore,BLMR,PT_CAT375611,
Broil Mate,BLMT,PT_CAT376010,
Blu-Mol Xtreme,BLMX,PT_CAT374176,
Blanco,BLNC,PT_CAT376032,
Blouin Displays,BLOU,PT_CAT374468,
Blue Air,BLR,PT_CAT48066,
Bally Refrigerated Boxes,BLRB,PT_CAT1030,
BlueStar,BLS,PT_CAT223897,
Blaster,BLST,PT_CAT374048,
Bully Tools,BLTL,PT_CAT375387,
Blue Chip,BLUC,PT_CAT374164,
Blu-Mol,BLUM,PT_CAT374175,
Blue Rhino,BLUR,PT_CAT224103,
Belle Vie,BLVE,PT_CAT375324,
Bridge Machine Company,BMC,PT_CAT224062,
Blue Monster Products,BMON,PT_CAT375764,
Blomberg,BMRG,PT_CAT235510,
Bemis,BMS,PT_CATBEMIS,
Benchmark USA,BNC,PT_CAT223802,
Bounce,BNCE,PT_CAT374221,
Bon Chef,BNCF,PT_CAT374061,
Band-Aid,BNDA,PT_CAT374043,
Burndy,BNDY,PT_CAT374850,
Berner International,BNER,PT_CATBERNERINTERNATIONAL,
Burnham Commercial Boiler,BNHM,PT_CAT375920,
Bondhus Tools,BNHS,PT_CAT375646,
Benier,BNI,PT_CAT223996,
Barnes & Jones,BNJN,PT_CAT374830,
Banjo,BNJO,PT_CAT374828,
Bn Products,BNP,PT_CAT374841,
Banner Stakes,BNSK,PT_CAT374829,
Bounty,BNTY,PT_CAT374222,
Boyds,BO,PT_CATBOYDS,
Broan Nutone,BOA,PT_CAT223713,
Boulder Clean,BOCL,PT_CAT374842,
Bogen Communications,BOCO,PT_CAT375405,
Boardwalk,BODK,PT_CAT235463,
Bohn,BOHN,PT_CATBOHN,
Bona,BONA,PT_CAT374366,
Borgen Systems,BOR,PT_CAT223862,
Borray Manufacturer,BORY,PT_CAT374469,
Boska,BOSK,PT_CAT374470,
Bostik,BOST,PT_CATBOSTIK,
Boston Acoustics,BOTA,PT_CAT374583,
Bon Tools,BOTO,PT_CAT375645,
Bott Ltd,BOTT,PT_CAT375529,
Bowers & Wilkins,BOWW,PT_CAT374125,
Boxit Corporation,BOXC,PT_CAT374778,
B&K Precision,BPC,PT_CAT374825,
Berlin Packaging,BPCK,PT_CAT374714,
Barnes Paper Company,BPCO,PT_CAT374363,
Brisker Products,BPEC,PT_CAT374793,
Bridgeport Fittings,BPFT,PT_CAT375488,
Brown Paper Goods,BPG,PT_CAT374734,
Browns Partmaster,BPI,PT_CATBROWNSPARTMASTER,
Bardes Plastic Inc,BPIN,PT_CAT375708,
Brady,BRAD,PT_CAT374843,
Braeburn Systems,BRAE,PT_CAT375956,
Broan,BRAN,PT_CAT235511,
Braun,BRAU,PT_CAT374589,
Bray Commercial,BRAY,PT_CAT375903,
Bryan Boilers,BRB,PT_CAT224129,
Bron Couke,BRCK,PT_CAT374062,
Brady SPC,BRDY,PT_CAT374049,
Bison Refrigeration,BREF,PT_CAT223781,
Browne Foodservice,BRFS,PT_CAT374063,
Bare Ground,BRGD,PT_CAT375663,
Browne-Halco,BRHL,PT_CATBROWNEHALCO,
Barker,BRK,PT_CATBARKER,
Berk Brands,BRKB,PT_CAT374833,
Barksdale,BRKD,PT_CAT375954,
Berko,BRKO,PT_CAT223961,
Broilmaster,BRLM,PT_CAT375948,
Brillo,BRLO,PT_CAT374846,
Brema,BRM,PT_CAT15336,
Bremer Manufacturing,BRMR,PT_CAT374471,
Imperial Brown,BRN,PT_CAT1213,
Brawny,BRNY,PT_CAT374224,
Broaster,BRO,PT_CAT281731,
Berry Plastics,BRPL,PT_CAT235634,
Berry Plastics Global,BRPL,PT_CAT374576,
Brasso,BRSO,PT_CAT374223,
Brushtech,BRST,PT_CAT374064,
Brute,BRTE,PT_CAT374225,
Brother,BRTH,PT_CAT235686,
Bretani,BRTI,PT_CAT375899,
Bartol,BRTL,PT_CAT235700,
Brite Shine,BRTS,PT_CATBRITESHINE,
Bro-Tex Inc,BRTX,PT_CAT374610,
Bravo,BRVO,PT_CATBRAVO,
Browning,BRWN,PT_CATBROWNING,
Baseboarders,BSBD,PT_CAT375620,
Baer Supply Company,BSC,PT_CATBAERSUPPLY,
Bostitch,BSCH,PT_CAT235544,
Boss Cleaning Equipment,BSCL,PT_CAT375545,
Basic Medical,BSCM,PT_CAT374217,
Brasscraft,BSCT,PT_CAT374844,
Biozone Scientific,BSGA,PT_CAT2898446,
Blastgate,BSGT,PT_CAT376045,
Bosch,BSH,PT_CAT224061,
Brisk Heat,BSHT,PT_CAT376053,
BSI Designs,BSI,PT_CAT223702,
Barska,BSKA,PT_CAT375525,
Best Sheet Metal,BSM,PT_CAT223676,
Best Air,BSTA,PT_CAT376037,
Bestt Liebco,BSTL,PT_CAT375586,
Beistle Products,BSTP,PT_CAT374619,
Brita,BTA,PT_CAT235503,
Betco,BTCO,PT_CAT374837,
Bright Dyes,BTDY,PT_CAT374845,
Big Time Products LLC,BTPS,PT_CAT235542,
Better Packages,BTRP,PT_CAT374838,
Best Way Tools,BTWT,PT_CAT374219,
Bunn,BU,PT_CAT1032,
Buffalo China,BUCH,PT_CAT375829,
Buchanan,BUCN,PT_CAT374848,
Bulman Products,BULM,PT_CAT374433,
Burlodge,BUR,PT_CAT223715,
Burford Corp,BURF,PT_CATBURFORDCORP,
Bussmann,BUSS,PT_CATBUSSMANN,
Bevles,BVL,PT_CAT1033,Legacy
Busch Vacuum,BVT,PT_CAT223896,
Burrows Paper,BWPR,PT_CAT375709,
BWT,BWTI,PT_CAT235547,
Bryant,BYNT,PT_CAT374847,
Buyer Products Co,BYPD,PT_CAT375607,
Bay West,BYWS,PT_CAT374744,
Cable Clamp,CABC,PT_CAT375797,
Cancoil,CAC,PT_CAT223799,
C A C China,CACC,PT_CATCACCHINA,
Camcode,CACO,PT_CAT2905189,
Cactus Mat,CACT,PT_CATCACTUSMAT,
Caddy,CAD,PT_CAT241007,
Cadco,CADC,PT_CAT242316,
Cafection,CAF,PT_CAT285088,
Cardinal Health,CAH,PT_CAT223939,
Calligaris,CAL,PT_CAT244409,
Caleffi,CALE,PT_CAT375880,
Cambro,CAM,PT_CATCAMBRO,
Canarm,CANA,PT_CAT375490,
Capkold,CAPK,PT_CATCAPKOLD,Unified
Carter-Hoffmann,CAR,PT_CAT1034,Middleby
Caravell,CARA,PT_CATCARAVELL,
Cardinal,CARD,PT_CAT374671,
Carlisle,CARL,PT_CATCARLISLE,
Carroll Chair,CARR,PT_CATCARROLCHAIR,
Cascades Pro,CASP,PT_CAT374368,
Castey,CASY,PT_CAT374474,
Cobra Anchors,CBAR,PT_CAT375396,
Clearbev,CBEV,PT_CATCLEARBEV,
Campbell Hausfeld,CBHF,PT_CAT375614,
Cable Prep,CBP,PT_CAT374851,
Cube Packaging,CBPK,PT_CAT374728,
Cabot Stain,CBST,PT_CAT374852,
Cables To Go,CBTG,PT_CAT375491,
Cobra Tools,CBTL,PT_CAT375391,
Combat Max,CBTX,PT_CAT374180,
Cables Unlimited,CBU,PT_CAT375505,
Coca-Cola,CC,PT_CATCOCACOLA,
Conveyer & Caster Corp,CCAS,PT_CAT374482,
Con Commercial Controls,CCC,PT_CATCONCOMMERCIALCONTROLS,
Cascade Professional,CCDP,PT_CAT374367,
CCI Cool Curtain,CCI,PT_CAT1035,
Concordia Beverage Systems,CCO,PT_CAT242807,Middleby
Carroll Coolers,CCOO,PT_CAT223917,
Continental Commercial Pr,CCPD,PT_CAT375339,
Canadian Curtis Refrigeration,CCR,PT_CAT223788,
Custom Deli's Equipment,CDEC,PT_CATCUSTOMDELISEQUIPMENT,
Custom Diamond,CDI,PT_CAT223778,
Cdi Torque Products,CDIT,PT_CAT374858,
Chadko,CDKO,PT_CAT375561,
Cdn,CDNM,PT_CAT374065,
Component Design Northwes,CDNW,PT_CAT374760,
Canadian Display System,CDS,PT_CAT236209,
Coldstream,CDSM,PT_CATCOLDSTREAM,
Cadet,CDT,PT_CAT374853,
Century Drill & Tool,CDTL,PT_CAT235549,
Commercial Display Systems,CDY,PT_CAT224104,
Coldzone,CDZ,PT_CAT223740,
Cecilware,CE,PT_CAT1036,Electro
Ceado,CEA,PT_CAT243308,
